id,ws_id,c_sky_cndt_id,c_wthr_typ_id,c_wnd_drct_id,weather_date,dry_bulb_temperature,wet_bulb_temperature,minimum_temperature,maximum_temperature,relative_humidity,visibility_km,wind_speed_kmh,wind_gust_kmh,rain_mm,snow_cm,hail_mm,dew_point,high_cloud_amt,middle_cloud_amt,low_cloud_amt,cu_cloud_amt,cuplus_cloud_amt,cb_cloud_amt,grand_total,fine_fuel_moisture_code,initial_spread_index,duff_moisture_code,build_up_index,drought_code,daily_severity_rating,fire_weather_index,present_weather,weather_remarks,station_id,c_wnd_drct_type,c_sky_cndt_type,name
1911853,77,3,2,2,2000-05-17 06:00:00,-0.5,,-6,7,,40,3,,0,0,0,,9,1,0,0,0,0,2.5,,,,,,,,X,WSE,SV,E,OVC,High Level
1912197,77,3,2,5,2000-05-17 12:00:00,6.5,2.5,,,50.25,40,15,,0,0,0,-3.1,2,4,4,0,0,0,24,,,,,,,,X,WSE,SV,S,OVC,High Level
1912424,77,5,2,3,2000-05-18 06:00:00,5.5,4,2,10,79.83,40,10,,0,0,0,2.3,2,1,0,0,0,0,19.5,,,,,,,,X,WSE,SV,SW,SCT,High Level
1912805,77,4,2,3,2000-05-18 12:00:00,13,7,,,42.31,40,15,,0,0,0,0.5,0,0,4,5,0,0,35,,,,,,,,X,WSE,SV,SW,BRK,High Level
1913040,77,3,2,1,2000-05-19 06:00:00,8.5,5.5,6,15,64.98,40,10,,0,0,0,2.3,0,2,8,0,0,0,24,,,,,,,,X,WSE,SV,W,OVC,High Level
1913900,77,4,2,7,2000-05-20 06:00:00,6,5,5,16,86.98,40,15,,0,0,0,4,0,4,5,0,0,0,26,,,,,,,,X,WSE,SV,NW,BRK,High Level
1914452,77,3,2,1,2000-05-20 12:00:00,10.5,6.5,,,56.8,30,5,,0.01,0,0,2.3,0,0,10,0,0,0,22,,,,,,,,L,WSE,SV,W,OVC,High Level
1914790,77,5,2,9,2000-05-21 06:00:00,8.5,6.5,5,14,76.44,40,0,,2.4,0,0,4.6,0,1,0,0,0,0,17.4,,,,,,,,X,DEW,SV,CLM,SCT,High Level
1915232,77,3,2,5,2000-05-21 12:00:00,13.5,7.5,,,43.38,40,10,,0,0,0,1.3,1,0,0,3,6,0,31,73.8,1.2,9.8,18.1,294.8,0.03,1.1,X,WSE,SV,S,OVC,High Level
1915586,77,3,2,8,2000-05-22 06:00:00,7,5,5,15,75.12,40,2,,0,0,0,2.9,4,4,2,0,0,0,14,,,,,,,,X,WSE,SV,N,OVC,High Level
1915829,77,3,2,6,2000-05-22 12:00:00,11,7.5,,,62.84,30,15,,0.1,0,0,4.2,1,0,8,1,0,0,33.6,79.9,2.4,11,20.1,299.2,0.3,3.9,T,WSE,SV,NE,OVC,High Level
