DATE,LIGHTNING_FOP_COMPLETED,HUMAN_FOP_COMPLETED,FORECASTED_OR_OBSERVED
2019-03-01,N,N,O
2019-03-02,N,N,O
2019-03-03,N,N,O
2019-03-04,N,N,O
2019-03-05,N,N,O
2019-03-06,N,N,O
2019-03-07,N,N,O
2019-03-08,N,N,O
2019-03-09,N,N,O
2019-03-10,N,N,O
2019-03-11,N,N,O
2019-03-12,N,N,O
2019-03-13,N,N,O
2019-03-14,N,N,O
2019-03-15,N,N,O
2019-03-16,N,N,O
2019-03-17,N,N,O
2019-03-18,N,N,O
2019-03-19,N,N,O
2019-03-20,N,N,O
2019-03-21,N,N,O
2019-03-22,N,N,O
2019-03-23,N,N,O
2019-03-24,N,N,O
2019-03-25,N,N,O
2019-03-26,N,N,O
2019-03-27,N,N,O
2019-03-28,N,N,O
2019-03-29,N,N,O
2019-03-30,N,N,O
2019-03-31,N,N,O
2019-04-01,N,N,O
2019-04-02,N,N,O
2019-04-03,N,N,O
2019-04-04,N,N,O
2019-04-05,N,N,O
2019-04-06,N,N,O
2019-04-07,N,N,O
2019-04-08,N,N,O
2019-04-09,N,N,O
2019-04-10,N,N,O
2019-04-11,N,N,O
2019-04-12,N,N,O
2019-04-13,N,N,O
2019-04-14,N,N,O
2019-04-15,N,N,O
2019-04-16,N,N,O
2019-04-17,N,N,O
2019-04-18,N,N,O
2019-04-19,N,N,O
2019-04-20,N,N,O
2019-04-21,N,N,O
2019-04-22,N,N,O
2019-04-23,N,N,O
2019-04-24,N,N,O
2019-04-25,N,N,O
2019-04-26,N,N,O
2019-04-27,N,N,O
2019-04-28,N,N,O
2019-04-29,N,N,O
2019-04-30,N,N,O
2019-05-01,N,N,O
2019-05-02,N,N,O
2019-05-03,N,N,O
2019-05-04,N,N,O
2019-05-05,N,N,O
2019-05-06,N,N,O
2019-05-07,N,N,O
2019-05-08,N,N,O
2019-05-09,N,N,O
2019-05-10,N,N,O
2019-05-11,N,N,O
2019-05-12,N,N,O
2019-05-13,N,N,O
2019-05-14,N,N,O
2019-05-15,N,N,O
2019-05-16,N,N,O
2019-05-17,N,N,O
2019-05-18,N,N,O
2019-05-19,N,N,O
2019-05-20,N,N,O
2019-05-21,N,N,O
2019-05-22,N,N,O
2019-05-23,N,N,O
2019-05-24,N,N,O
2019-05-25,N,N,O
2019-05-26,N,N,O
2019-05-27,N,N,O
2019-05-28,N,N,O
2019-05-29,N,N,O
2019-05-30,N,Y,O
2019-05-31,N,N,O
2019-06-01,N,N,O
2019-06-02,N,N,O
2019-06-03,N,N,O
2019-06-04,N,N,O
2019-06-05,N,N,O
2019-06-06,N,N,O
2019-06-07,N,N,O
2019-06-08,N,N,O
2019-06-09,N,N,O
2019-06-10,N,N,O
2019-06-11,N,N,O
2019-06-12,N,N,O
2019-06-13,N,N,O
2019-06-14,N,N,O
2019-06-15,N,N,O
2019-06-16,N,N,O
2019-06-17,N,N,O
2019-06-18,N,N,O
2019-06-19,N,N,O
2019-06-20,N,N,O
2019-06-21,N,N,O
2019-06-22,N,N,O
2019-06-23,N,N,O
2019-06-24,N,N,O
2019-06-25,N,N,O
2019-06-26,N,N,O
2019-06-27,N,N,O
2019-06-28,N,N,O
2019-06-29,N,N,O
2019-06-30,N,N,O
2019-07-01,N,N,O
2019-07-02,N,N,O
2019-07-03,N,N,O
2019-07-04,N,N,O
2019-07-05,N,N,O
2019-07-06,N,N,O
2019-07-07,N,N,O
2019-07-08,N,N,O
2019-07-09,N,N,O
2019-07-10,N,N,O
2019-07-11,N,N,O
2019-07-12,N,N,O
2019-07-13,N,N,O
2019-07-14,N,N,O
2019-07-15,N,N,O
2019-07-16,N,N,O
2019-07-17,N,N,O
2019-07-18,N,N,O
2019-07-19,N,N,O
2019-07-20,N,N,O
2019-07-21,N,N,O
2019-07-22,N,N,O
2019-07-23,N,N,O
2019-07-24,N,N,O
2019-07-25,N,N,O
2019-07-26,N,N,O
2019-07-27,N,N,O
2019-07-28,N,N,O
2019-07-29,N,N,O
2019-07-30,N,N,O
2019-07-31,N,N,O
2019-08-01,N,N,O
2019-08-02,N,N,O
2019-08-03,N,N,O
2019-08-04,N,N,O
2019-08-05,N,N,O
2019-08-06,N,N,O
2019-08-07,N,N,O
2019-08-08,N,N,O
2019-08-09,N,N,O
2019-08-10,N,N,O
2019-08-11,N,N,O
2019-08-12,N,N,O
2019-08-13,N,N,O
2019-08-14,N,N,O
2019-08-15,N,N,O
2019-08-16,N,N,O
2019-08-17,N,N,O
2019-08-18,N,N,O
2019-08-19,N,N,O
2019-08-20,N,N,O
2019-08-21,N,N,O
2019-08-22,N,N,O
2019-08-23,N,N,O
