DATE,LIGHTNING_FOP_COMPLETED,HUMAN_FOP_COMPLETED,FORECASTED_OR_OBSERVED
2014-03-01,N,N,O
2014-03-02,N,N,O
2014-03-03,N,N,O
2014-03-04,N,N,O
2014-03-05,N,N,O
2014-03-06,N,N,O
2014-03-07,N,N,O
2014-03-08,N,N,O
2014-03-09,N,N,O
2014-03-10,N,N,O
2014-03-11,N,N,O
2014-03-12,N,N,O
2014-03-13,N,N,O
2014-03-14,N,N,O
2014-03-15,N,N,O
2014-03-16,N,N,O
2014-03-17,N,N,O
2014-03-18,N,N,O
2014-03-19,N,N,O
2014-03-20,N,N,O
2014-03-21,N,N,O
2014-03-22,N,N,O
2014-03-23,N,N,O
2014-03-24,N,N,O
2014-03-25,N,N,O
2014-03-26,N,N,O
2014-03-27,N,N,O
2014-03-28,N,N,O
2014-03-29,N,N,O
2014-03-30,N,N,O
2014-03-31,N,N,O
2014-04-01,N,N,O
2014-04-02,N,N,O
2014-04-03,N,N,O
2014-04-04,N,N,O
2014-04-05,N,N,O
2014-04-06,N,N,O
2014-04-07,N,N,O
2014-04-08,N,N,O
2014-04-09,N,N,O
2014-04-10,N,N,O
2014-04-11,N,N,O
2014-04-12,N,N,O
2014-04-13,N,N,O
2014-04-14,N,N,O
2014-04-15,N,N,O
2014-04-16,N,N,O
2014-04-17,N,N,O
2014-04-18,N,N,O
2014-04-19,N,N,O
2014-04-20,N,N,O
2014-04-21,N,N,O
2014-04-22,N,N,O
2014-04-23,N,N,O
2014-04-24,N,N,O
2014-04-25,N,N,O
2014-04-26,N,N,O
2014-04-27,N,Y,O
2014-04-28,N,Y,O
2014-04-29,N,Y,O
2014-04-30,N,Y,O
2014-05-01,Y,Y,O
2014-05-02,Y,Y,O
2014-05-03,Y,Y,O
2014-05-04,Y,Y,O
2014-05-05,Y,Y,O
2014-05-06,Y,Y,O
2014-05-07,Y,Y,O
2014-05-08,Y,Y,O
2014-05-09,Y,Y,O
2014-05-10,Y,Y,O
2014-05-11,Y,Y,O
2014-05-12,Y,Y,O
2014-05-13,Y,Y,O
2014-05-14,Y,Y,O
2014-05-15,Y,Y,O
2014-05-16,Y,N,O
2014-05-17,Y,N,O
2014-05-18,Y,N,O
2014-05-19,Y,N,O
2014-05-20,Y,Y,O
2014-05-21,Y,N,O
2014-05-22,Y,N,O
2014-05-23,N,N,O
2014-05-24,N,N,O
2014-05-25,N,N,O
2014-05-26,N,N,O
2014-05-27,N,N,O
2014-05-28,N,N,O
2014-05-29,N,N,O
2014-05-30,N,N,O
2014-05-31,N,N,O
2014-06-01,N,N,O
2014-06-02,N,N,O
2014-06-03,N,N,O
2014-06-04,N,N,O
2014-06-05,N,N,O
2014-06-06,N,N,O
2014-06-07,N,N,O
2014-06-08,N,N,O
2014-06-09,N,N,O
2014-06-10,N,N,O
2014-06-11,N,N,O
2014-06-12,N,N,O
2014-06-13,N,N,O
2014-06-14,N,N,O
2014-06-15,N,N,O
2014-06-16,N,N,O
2014-06-17,N,N,O
2014-06-18,N,N,O
2014-06-19,N,N,O
2014-06-20,N,N,O
2014-06-21,N,N,O
2014-06-22,N,N,O
2014-06-23,N,N,O
2014-06-24,N,N,O
2014-06-25,N,N,O
2014-06-26,N,N,O
2014-06-27,N,N,O
2014-06-28,N,N,O
2014-06-29,N,N,O
2014-06-30,N,N,O
2014-07-01,N,N,O
2014-07-02,N,N,O
2014-07-03,N,N,O
2014-07-04,N,N,O
2014-07-05,N,N,O
2014-07-06,N,N,O
2014-07-07,N,N,O
2014-07-08,N,N,O
2014-07-09,N,N,O
2014-07-10,N,N,O
2014-07-11,N,N,O
2014-07-12,N,N,O
2014-07-13,N,N,O
2014-07-14,N,N,O
2014-07-15,N,N,O
2014-07-16,N,N,O
2014-07-17,N,N,O
2014-07-18,N,N,O
2014-07-19,N,N,O
2014-07-20,N,N,O
2014-07-21,N,N,O
2014-07-22,N,N,O
2014-07-23,N,N,O
2014-07-24,N,N,O
2014-07-25,N,N,O
2014-07-26,N,N,O
2014-07-27,N,N,O
2014-07-28,N,N,O
2014-07-29,N,N,O
2014-07-30,N,N,O
2014-07-31,N,N,O
2014-08-01,N,N,O
2014-08-02,N,N,O
2014-08-03,N,N,O
2014-08-04,N,N,O
2014-08-05,N,N,O
2014-08-06,N,N,O
2014-08-07,N,N,O
2014-08-08,N,N,O
2014-08-09,N,N,O
2014-08-10,N,N,O
2014-08-11,N,N,O
2014-08-12,N,N,O
2014-08-13,N,N,O
2014-08-14,N,N,O
2014-08-15,N,N,O
2014-08-16,N,N,O
2014-08-17,N,N,O
2014-08-18,N,N,O
2014-08-19,N,N,O
2014-08-20,N,N,O
2014-08-21,N,N,O
2014-08-22,N,N,O
2014-08-23,N,N,O
2014-08-24,N,N,O
2014-08-25,N,N,O
2014-08-26,N,N,O
2014-08-27,N,N,O
2014-08-28,N,N,O
2014-08-29,N,N,O
2014-08-30,N,N,O
2014-08-31,N,N,O
2014-09-01,N,N,O
2014-09-02,N,N,O
2014-09-03,N,N,O
2014-09-04,N,N,O
2014-09-05,N,N,O
2014-09-06,N,N,O
2014-09-07,N,N,O
2014-09-08,N,N,O
2014-09-09,N,N,O
2014-09-10,N,N,O
2014-09-11,N,N,O
2014-09-12,N,N,O
2014-09-13,N,N,O
2014-09-14,N,N,O
2014-09-15,N,N,O
2014-09-16,N,N,O
2014-09-17,N,N,O
2014-09-18,N,N,O
2014-09-19,N,N,O
2014-09-20,N,N,O
2014-09-21,N,N,O
2014-09-22,N,N,O
2014-09-23,N,N,O
2014-09-24,N,N,O
2014-09-25,N,N,O
2014-09-26,N,N,O
2014-09-27,N,N,O
2014-09-28,N,N,O
2014-09-29,N,N,O
2014-09-30,N,N,O
2014-10-01,N,N,O
2014-10-02,N,N,O
2014-10-03,N,N,O
2014-10-04,N,N,O
2014-10-05,N,N,O
2014-10-06,N,N,O
2014-10-07,N,N,O
2014-10-08,N,N,O
2014-10-09,N,N,O
2014-10-10,N,N,O
2014-10-11,N,N,O
